,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
179,2025-11-18,Grupo wizz,W43938,chisinau,09:00:00,En hora,180,Airbus A320,W,INT,Martes,Mañana,0,0,Low_Cost,0.95
180,2025-11-18,Grupo wizz,W62048,krakow,09:05:00,En hora,239,Airbus A321neo,S,EU,Martes,Mañana,0,0,Low_Cost,0.97
183,2025-11-18,Grupo wizz,W61914,vilnius,09:20:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana,0,0,Low_Cost,0.97
184,2025-11-18,Grupo wizz,W43176,bucharest,09:25:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana,0,0,Low_Cost,0.95
185,2025-11-18,Grupo wizz,W62376,budapest,09:25:00,Retrasado,239,Airbus A321neo,S,EU,Martes,Mañana,0,0,Low_Cost,0.97
186,2025-11-18,Transavia,TO4751,paris,09:30:00,En hora,232,Airbus A321neo,U,EU,Martes,Mañana,0,0,Low_Cost,0.97
187,2025-11-18,Grupo wizz,W42938,vienna,09:35:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana,0,0,Low_Cost,0.97
188,2025-11-18,Air Arabia Maroc,3O378,tanger,09:45:00,En hora,174,Airbus A320,Y,INT,Martes,Mañana,0,0,Low_Cost,0.95
189,2025-11-18,Eurowings,EW9441,dusseldorf,09:45:00,En hora,150,Airbus A319,S,EU,Martes,Mañana,0,0,Low_Cost,0.95
190,2025-11-18,Air Serbia,JU581,belgrade,09:55:00,En hora,144,Airbus A319,Y,INT,Martes,Mañana,0,0,Legacy,0.86
192,2025-11-18,Grupo wizz,W61476,warsaw,10:15:00,En hora,239,Airbus A321neo,S,EU,Martes,Mañana,0,0,Low_Cost,0.97
195,2025-11-18,Azerbaijan Airlines,J246,baku,10:45:00,En hora,186,Airbus A320neo,Y,INT,Martes,Mañana,0,0,Low_Cost,0.95
196,2025-11-18,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,W,INT,Martes,Mañana,0,0,Low_Cost,0.96
198,2025-11-18,Icelandair,FI597,keflavik,11:50:00,En hora,160,Boeing 737 MAX 8,U,EU,Martes,Mañana,0,0,Legacy,0.86
200,2025-11-18,Grupo easy,EC7151,milan,12:20:00,En hora,156,Airbus A319,R,EU,Martes,Tarde,0,0,Low_Cost,0.97
201,2025-11-18,Norwegian Air Sweden AOC,D83657,copenhagen,12:30:00,En hora,189,Boeing 737 MAX 8,U,EU,Martes,Tarde,0,0,Low_Cost,0.97
203,2025-11-18,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,239,Airbus A321neo,W,INT,Martes,Tarde,0,0,Low_Cost,0.95
205,2025-11-18,Norwegian Air Shuttle,DY1741,oslo,13:25:00,Retrasado,197,Boeing 737 MAX 8,U,EU,Martes,Tarde,0,0,Low_Cost,0.95
206,2025-11-18,FlyOne,5F5512,chisinau,13:30:00,En hora,194,Airbus A321,W,INT,Martes,Tarde,0,0,Low_Cost,0.95
207,2025-11-18,Luxair,LG3592,luxembourg,13:40:00,En hora,186,Boeing 737-800,U,EU,Martes,Tarde,0,0,Legacy,0.86
210,2025-11-18,Kuwait Airways,KU136,kuwait city,14:25:00,Retrasado,235,Airbus A330-800,W,INT,Martes,Tarde,0,0,Legacy,0.86
211,2025-11-18,Bluebird Airways,BZ251,tel aviv,14:45:00,Retrasado,189,Boeing 737-800,Y,INT,Martes,Tarde,0,0,Low_Cost,0.95
216,2025-11-18,Transavia,HV5134,amsterdam,17:45:00,En hora,189,Boeing 737-800,U,EU,Martes,Tarde,0,0,Low_Cost,0.95
218,2025-11-18,Grupo easy,EC7103,"basel, switzerland/mulhouse",18:10:00,En hora,156,Airbus A319,R,EU,Martes,Tarde,0,0,Low_Cost,0.95
222,2025-11-18,Grupo wizz,W61176,katowice,18:55:00,En hora,239,Airbus A321neo,S,EU,Martes,Tarde,0,0,Low_Cost,0.95
223,2025-11-18,Grupo wizz,W61478,warsaw,19:00:00,En hora,239,Airbus A321neo,S,EU,Martes,Tarde,0,0,Low_Cost,0.97
225,2025-11-18,Eurowings,EW9443,dusseldorf,19:35:00,En hora,180,Airbus A320,S,EU,Martes,Tarde,0,0,Low_Cost,0.95
226,2025-11-18,Grupo wizz,W64406,sofia,19:35:00,En hora,230,Airbus A321,S,EU,Martes,Tarde,0,0,Low_Cost,0.97
227,2025-11-18,Grupo easy,U28058,london,19:45:00,En hora,156,Airbus A319,M,INT,Martes,Tarde,0,0,Low_Cost,0.97
228,2025-11-18,Transavia,HV6790,eindhoven,19:55:00,En hora,189,Boeing 737-800,U,EU,Martes,Tarde,0,0,Low_Cost,0.95
229,2025-11-18,Air Arabia Maroc,3O642,tanger,20:00:00,En hora,174,Airbus A320,Y,INT,Martes,Noche,0,0,Low_Cost,0.95
230,2025-11-18,Grupo easy,EC1956,milan,20:15:00,En hora,180,Airbus A320,R,EU,Martes,Noche,0,0,Low_Cost,0.97
232,2025-11-18,Transavia,TO4759,paris,20:45:00,En hora,186,Airbus A320neo,S,EU,Martes,Noche,0,0,Low_Cost,0.97
233,2025-11-18,Grupo easy,EC1380,geneva,21:15:00,En hora,180,Airbus A320,R,EU,Martes,Noche,0,0,Low_Cost,0.95
235,2025-11-18,Grupo wizz,W46020,rome,21:35:00,En hora,239,Airbus A321neo,S,EU,Martes,Noche,0,0,Low_Cost,0.96
241,2025-11-19,Grupo easy,EC7193,leeds bradford,06:30:00,En hora,156,Airbus A319,R,EU,Miércoles,Mañana,0,0,Low_Cost,0.95
245,2025-11-19,Grupo easy,EC8062,london,07:20:00,En hora,156,Airbus A319,R,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
246,2025-11-19,Grupo easy,EC3737,milan,08:25:00,En hora,180,Airbus A320,R,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
247,2025-11-19,Grupo easy,EC7161,napoli,09:20:00,En hora,156,Airbus A319,R,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
248,2025-11-19,Grupo wizz,W43176,bucharest,09:25:00,En hora,230,Airbus A321,U,EU,Miércoles,Mañana,0,0,Low_Cost,0.95
249,2025-11-19,Grupo wizz,W62376,budapest,09:25:00,En hora,239,Airbus A321neo,U,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
251,2025-11-19,Air Arabia Maroc,3O376,al aaroui,09:35:00,En hora,174,Airbus A320,Y,INT,Miércoles,Mañana,0,0,Low_Cost,0.93
252,2025-11-19,Grupo wizz,W42940,vienna,09:35:00,Retrasado,239,Airbus A321neo,S,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
253,2025-11-19,Eurowings,EW9441,dusseldorf,09:45:00,En hora,150,Airbus A319,S,EU,Miércoles,Mañana,0,0,Low_Cost,0.95
257,2025-11-19,Air Arabia Maroc,3O642,tanger,10:05:00,En hora,174,Airbus A320,W,INT,Miércoles,Mañana,0,0,Low_Cost,0.95
258,2025-11-19,Transavia,HV5132,amsterdam,10:05:00,En hora,232,Airbus A321neo,U,EU,Miércoles,Mañana,0,0,Low_Cost,0.95
260,2025-11-19,Grupo wizz,W61476,warsaw,10:15:00,En hora,230,Airbus A321,S,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
262,2025-11-19,Air Baltic,BT878,tallinn,10:35:00,Retrasado,148,Airbus A220-300,U,EU,Miércoles,Mañana,0,0,Low_Cost,0.97
264,2025-11-19,SkyUp MT,U5406,chisinau,10:50:00,Retrasado,149,Boeing 737-700,Y,INT,Miércoles,Mañana,0,0,Low_Cost,0.95
265,2025-11-19,Grupo easy,U22704,bristol,10:55:00,En hora,186,Airbus A320neo,M,INT,Miércoles,Mañana,0,0,Low_Cost,0.94
267,2025-11-19,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,Y,INT,Miércoles,Mañana,0,0,Low_Cost,0.96
270,2025-11-19,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,239,Airbus A321neo,Y,INT,Miércoles,Tarde,0,0,Low_Cost,0.95
273,2025-11-19,HiSky,H4264,bucharest,13:20:00,En hora,186,Airbus A320,R,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
274,2025-11-19,Norwegian Air Shuttle,DY1741,oslo,13:25:00,Retrasado,189,Boeing 737-800,U,EU,Miércoles,Tarde,0,0,Low_Cost,0.95
275,2025-11-19,Eurowings,EW521,cologne-bonn,13:25:00,Retrasado,226,Airbus A321,U,EU,Miércoles,Tarde,0,0,Low_Cost,0.97
