,Unnamed: 0,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
657,,22/Nov/2025,Easyjet,U22704,Bristol (BRS),10:55,"En hora, Ha salido",180.0,Airbus A320,M3
658,,22/Nov/2025,Ryanair,FR6394,Dublin (DUB),11:00,"En hora, Ha salido",197.0,Boeing 737 MAX 8,W49
659,,22/Nov/2025,Ryanair,FR4597,Porto (OPO),11:20,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U31
660,,22/Nov/2025,easyJet Europe,EC7193,Leeds Bradford (LBA),11:30,"En hora, Ha salido",156.0,Airbus A319,M6
661,,22/Nov/2025,Aer Lingus,EI563,Dublin (DUB),11:30,"En hora, Ha salido",180.0,Airbus A320,Y54
662,,22/Nov/2025,Ryanair,FR2507,Cologne-Bonn (CGN),11:55,"En hora, Ha salido",189.0,Boeing 737-800,U37
663,,22/Nov/2025,Ryanair,FR3108,Luxembourg (LUX),12:05,"En hora, Ha salido",189.0,Boeing 737-800,U41
664,,22/Nov/2025,easyJet Europe,EC8064,London (LGW),12:10,"En hora, Ha salido",156.0,Airbus A319,M3
665,,22/Nov/2025,Ryanair,FR8231,London (STN),12:25,"En hora, Ha salido",189.0,Boeing 737-800,Y58
666,,22/Nov/2025,Pegasus Airlines,PC1092,Istanbul (SAW),12:45,"Retrasado, Ha salido 12:59",230.0,Airbus A321,Y57
667,,22/Nov/2025,Wizz Air,W67022,Bratislava (BTS),12:55,"En hora, Ha salido",239.0,Airbus A321neo,U32
668,,22/Nov/2025,Ryanair,FR483,Malaga (AGP),13:05,"Retrasado, Ha salido 13:24",189.0,Boeing 737-800,S21
669,,22/Nov/2025,Boliviana de Aviacion,OB775,Santa Cruz (VVI),13:10,"Retrasado, Programado 14:45",246.0,Airbus A330-200,Y55
670,,22/Nov/2025,Wizz Air Malta,W46330,Milan (MXP),13:10,"En hora, Ha salido",230.0,Airbus A321,U31
671,,22/Nov/2025,easyJet Europe,EC7101,"Basel, Switzerland/Mulhouse (BSL)",13:20,"En hora, Ha salido",156.0,Airbus A319,R15
672,,22/Nov/2025,Ryanair,FR7808,London (LTN),13:20,"En hora, Ha salido",197.0,Boeing 737 MAX 8,W46
673,,22/Nov/2025,Ryanair UK,RK6597,Manchester (MAN),13:25,"En hora, Ha salido",189.0,Boeing 737-800,Y54
674,,22/Nov/2025,Ryanair,FR2098,Bologna (BLQ),13:30,"En hora, Ha salido",189.0,Boeing 737-800,U33
675,,22/Nov/2025,Air Arabia Maroc,3O378,Tanger (TNG),13:35,"Retrasado, Ha salido 14:05",180.0,Airbus A320,Y58
676,,22/Nov/2025,easyJet Europe,EC7153,Milan (MXP),13:35,"En hora, Ha salido",156.0,Airbus A319,R19
677,,22/Nov/2025,Ajet,VF608,Ankara (ESB),13:40,"Retrasado, Ha salido 13:56",180.0,Airbus A320,W45
678,,22/Nov/2025,Ryanair,FR1681,Frankfurt-Hahn (HHN),14:00,"En hora, Ha salido",189.0,Boeing 737-800,U35
679,,22/Nov/2025,Air Baltic,BT684,Riga (RIX),14:05,"Retrasado, Programado 15:00",148.0,Airbus A220-300,S20
680,,22/Nov/2025,BUZZ,RR6920,Dublin (DUB),14:05,"Retrasado, Ha salido 14:33",189.0,Boeing 737-800,Y57
681,,22/Nov/2025,Ryanair,FR58,Napoli (NAP),14:15,"En hora, Ha salido",189.0,Boeing 737-800,U34
682,,22/Nov/2025,Kuwait Airways,KU136,Kuwait City (KWI),14:25,"En hora, Ha salido",278.0,Airbus A330-900,W44
683,,22/Nov/2025,Ryanair,FR3070,Palma de Mallorca (PMI),14:40,"Retrasado, Ha salido 14:51",189.0,Boeing 737-800,S24
684,,22/Nov/2025,Ryanair,FR774,Torino (TRN),14:45,"En hora, Ha salido",189.0,Boeing 737-800,S22
685,,22/Nov/2025,Ryanair,FR3121,Beauvais (BVA),14:50,"En hora, Ha salido",189.0,Boeing 737-800,U37
686,,22/Nov/2025,Ryanair,FR6300,Sofia (SOF),14:55,"En hora, Programado",189.0,Boeing 737-800,R12
687,,22/Nov/2025,Ryanair,FR3189,Fes (FEZ),15:30,"En hora, Programado",189.0,Boeing 737-800,W42
688,,22/Nov/2025,Wizz Air Malta,W46728,Venice (VCE),15:40,"En hora, Ha salido",239.0,Airbus A321neo,S21
689,,22/Nov/2025,Ryanair,FR3807,Charleroi (CRL),16:05,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U32
690,,22/Nov/2025,BUZZ,RR8384,Budapest (BUD),16:10,"Retrasado, Ha salido 16:40",189.0,Boeing 737-800,S25
691,,22/Nov/2025,Ryanair,FR7543,Manchester (MAN),16:20,"En hora, Ha salido",189.0,Boeing 737-800,Y54
692,,22/Nov/2025,Ryanair,FR3146,Oujda (OUD),16:45,"En hora, Ha salido",189.0,Boeing 737-800,W49
693,,22/Nov/2025,Ryanair,FR269,Milan (MXP),16:50,"En hora, Ha salido",189.0,Boeing 737-800,U37
694,,22/Nov/2025,Ryanair,FR9015,London (STN),17:00,"En hora, Ha salido",197.0,Boeing 737 MAX 8,W44
695,,22/Nov/2025,Ryanair,FR5752,Valletta (MLA),17:10,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U34
696,,22/Nov/2025,Ryanair,FR6874,Dublin (DUB),17:40,"En hora, Ha salido",189.0,Boeing 737-800,Y54
697,,22/Nov/2025,Ryanair,FR2233,Al Aaroui (NDR),17:50,"Retrasado, Ha salido 18:08",189.0,Boeing 737-800,W42
698,,22/Nov/2025,Ryanair,FR2925,Brussels (BRU),17:50,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U33
699,,22/Nov/2025,Ryanair,FR6353,Milan (BGY),17:55,"En hora, Ha salido",189.0,Boeing 737-800,S24
700,,22/Nov/2025,easyJet Europe,EC7103,"Basel, Switzerland/Mulhouse (BSL)",18:00,"En hora, Ha salido",156.0,Airbus A319,R11
701,,22/Nov/2025,Norwegian Air Sweden AOC,D81741,Oslo (OSL),18:15,"En hora, Ha salido",189.0,Boeing 737-800,U32
702,,22/Nov/2025,Ryanair,FR878,Venice (VCE),18:15,"En hora, Ha salido",189.0,Boeing 737-800,U32
703,,22/Nov/2025,Transavia,HV5134,Amsterdam (AMS),18:15,"En hora, Ha salido",239.0,Airbus A321neo,U36
704,,22/Nov/2025,Ryanair,FR3035,Krakow (KRK),18:20,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U41
705,,22/Nov/2025,Ryanair,FR3792,Birmingham (BHX),18:55,"En hora, Ha salido",197.0,Boeing 737 MAX 8,Y58
706,,22/Nov/2025,Wizz Air,W61176,Katowice (KTW),18:55,"En hora, Ha salido",239.0,Airbus A321neo,S20
707,,22/Nov/2025,Wizz Air,W61478,Warsaw (WAW),19:00,"En hora, Ha salido",239.0,Airbus A321neo,S21
708,,22/Nov/2025,Ryanair,FR9045,London (STN),19:05,"En hora, Ha salido",189.0,Boeing 737-800,W42
709,,22/Nov/2025,Ryanair,FR5270,Manchester (MAN),19:20,"En hora, Ha salido",189.0,Boeing 737-800,Y57
710,,22/Nov/2025,Ryanair,FR149,Berlin (BER),19:35,"Retrasado, Ha salido 19:59",197.0,Boeing 737 MAX 8,U34
711,,22/Nov/2025,Wizz Air,W64406,Sofia (SOF),19:35,"En hora, Ha salido",239.0,Airbus A321neo,S22
712,,22/Nov/2025,Air Baltic,BT878,Tallinn (TLL),19:40,"En hora, Ha salido",148.0,Airbus A220-300,U35
713,,22/Nov/2025,Ryanair,FR3078,Lisbon (LIS),19:55,"En hora, Ha salido",189.0,Boeing 737-800,S24
714,,22/Nov/2025,Lauda Europe,LW7351,Vienna (VIE),20:05,"En hora, Ha salido",180.0,Airbus A320,R14
715,,22/Nov/2025,easyJet Europe,EC1380,Geneva (GVA),20:10,"En hora, Ha salido",180.0,Airbus A320,R11
716,,22/Nov/2025,Ryanair,FR867,Venice (VCE),20:20,"En hora, Ha salido",189.0,Boeing 737-800,U36
717,,22/Nov/2025,Ryanair,FR9581,Sevilla (SVQ),20:25,"En hora, Ha salido",197.0,Boeing 737 MAX 8,R13
718,,22/Nov/2025,T'Way Air,TW408,Seoul/Incheon (ICN),20:30,"En hora, Ha salido",294.0,BOEING 777-300ER,Y55
719,,22/Nov/2025,Ryanair,FR3182,Malaga (AGP),20:45,"En hora, Ha salido",189.0,Boeing 737-800,U33
720,,22/Nov/2025,Ryanair,FR3928,Trieste (TRS),20:45,"En hora, Ha salido",189.0,Boeing 737-800,S25
721,,22/Nov/2025,Transavia,TO4759,Paris (ORY),20:45,"Retrasado, Ha salido 21:41",186.0,Airbus A320neo,U31
722,,22/Nov/2025,Wizz Air,W62378,Budapest (BUD),20:45,"Retrasado, Ha salido 20:55",239.0,Airbus A321neo,U32
723,,22/Nov/2025,Ryanair,FR4585,Porto (OPO),20:50,"Retrasado, Ha salido 21:10",189.0,Boeing 737-800,S23
724,,22/Nov/2025,Ryanair,FR6267,Edinburgh (EDI),20:55,"En hora, Ha salido",189.0,Boeing 737-800,W42
725,,22/Nov/2025,Ryanair,FR3174,Ibiza (IBZ),21:20,"En hora, Ha salido",189.0,Boeing 737-800,U34
726,,22/Nov/2025,Wizz Air Malta,W43178,Bucharest (BBU),21:20,"En hora, Ha salido",230.0,Airbus A321,S20
727,,22/Nov/2025,Wizz Air Malta,W43406,Cluj-Napoca (CLJ),21:25,"En hora, Ha salido",180.0,Airbus A320,S21
728,,22/Nov/2025,Ryanair,FR5220,Bologna (BLQ),21:30,"En hora, Ha salido",189.0,Boeing 737-800,U35
729,,22/Nov/2025,BUZZ,RR3039,Prague (PRG),21:35,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U36
730,,22/Nov/2025,Wizz Air Malta,W46020,Rome (FCO),21:35,"En hora, Ha salido",239.0,Airbus A321neo,S22
731,,22/Nov/2025,Ryanair,FR3800,Birmingham (BHX),21:55,"En hora, Ha salido",189.0,Boeing 737-800,Y57
732,,22/Nov/2025,Ryanair,FR8574,Rome (FCO),22:10,"Retrasado, Ha salido 22:28",189.0,Boeing 737-800,U34
733,,22/Nov/2025,Wizz Air,W64116,Belgrade (BEG),22:10,"En hora, Ha salido",239.0,Airbus A321neo,Y58
734,,22/Nov/2025,Air Arabia Maroc,3O642,Tanger (TNG),22:15,"En hora, Ha salido",180.0,Airbus A320,W44
735,,23/11/2025 15-34-22,Ryanair,FR3180,Rome (FCO),06:00,Ha salido,189.0,Boeing 737-800,U34
736,,23/11/2025 15-34-22,Ryanair,FR2834,Charleroi (CRL),06:10,Ha salido,197.0,Boeing 737 MAX 8,S20
737,,23/11/2025 15-34-22,Ryanair,FR2918,Brussels (BRU),06:25,Ha salido,189.0,Boeing 737-800,R12
738,,23/11/2025 15-34-22,Ryanair,FR4084,Warsaw (WMI),06:25,"Retrasado, Ha salido",189.0,Boeing 737-800,S21
739,,23/11/2025 15-34-22,Ryanair,FR2239,Marrakech (RAK),06:30,Ha salido,189.0,Boeing 737-800,W46
740,,23/11/2025 15-34-22,Ryanair,FR2507,Cologne-Bonn (CGN),06:40,Ha salido,189.0,Boeing 737-800,U33
741,,23/11/2025 15-34-22,easyJet Europe,EC7101,"Basel, Switzerland/Mulhouse (BSL)",06:50,Ha salido,156.0,Airbus A319,R15
742,,23/11/2025 15-34-22,easyJet Europe,EC7191,Glasgow (GLA),07:20,Ha salido,156.0,Airbus A319,M3
743,,23/11/2025 15-34-22,Ryanair,FR6597,Manchester (MAN),07:30,Ha salido,189.0,Boeing 737-800,W45
744,,23/11/2025 15-34-22,Ryanair,FR3108,Luxembourg (LUX),07:35,Ha salido,189.0,Boeing 737-800,S22
745,,23/11/2025 15-34-22,Ryanair,FR1165,Sevilla (SVQ),07:50,Ha salido,189.0,Boeing 737-800,S24
746,,23/11/2025 15-34-22,Norwegian Air Sweden AOC,D85510,Copenhagen (CPH),08:00,Ha salido,189.0,Boeing 737-800,U37
