,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time
164,2025-11-17,Grupo Ryanair,FR2250,Marrakech (RAK),21:50:00,En hora,197,Boeing 737 MAX 8,S,EU,Lunes,Noche
165,2025-11-17,Grupo easy,U22706,Bristol (BRS),21:55:00,En hora,180,Airbus A320,M,INT,Lunes,Noche
166,2025-11-17,Grupo wizz,W64116,Belgrade (BEG),21:55:00,En hora,239,Airbus A321neo,Y,INT,Lunes,Noche
167,2025-11-17,Grupo Ryanair,FR8574,Rome (FCO),22:20:00,En hora,189,Boeing 737-800,U,EU,Lunes,Noche
168,2025-11-17,Grupo wizz,W45154,Tirana (TIA),22:45:00,En hora,230,Airbus A321,W,INT,Lunes,Noche
169,2025-11-18,Grupo easy,EC7105,Geneva (GVA),06:00:00,En hora,156,Airbus A319,R,EU,Martes,Mañana
170,2025-11-18,Grupo Ryanair,FR3189,Fes (FEZ),06:15:00,En hora,189,Boeing 737-800,W,INT,Martes,Mañana
171,2025-11-18,Grupo Ryanair,FR2507,Cologne-Bonn (CGN),06:20:00,En hora,197,Boeing 737 MAX 8,U,EU,Martes,Mañana
172,2025-11-18,Grupo Ryanair,FR4545,Porto (OPO),06:35:00,En hora,197,Boeing 737 MAX 8,U,EU,Martes,Mañana
173,2025-11-18,Grupo easy,EC8062,London (LGW),07:30:00,En hora,156,Airbus A319,R,EU,Martes,Mañana
174,2025-11-18,Grupo Ryanair,FR3166,Palermo (PMO),07:35:00,En hora,189,Boeing 737-800,S,EU,Martes,Mañana
175,2025-11-18,Grupo Ryanair,FR5718,Bratislava (BTS),07:35:00,En hora,189,Boeing 737-800,U,EU,Martes,Mañana
176,2025-11-18,Grupo Ryanair,FR3193,Riga (RIX),07:55:00,En hora,189,Boeing 737-800,U,EU,Martes,Mañana
177,2025-11-18,Grupo easy,EC3737,Milan (MXP),08:00:00,En hora,180,Airbus A320,R,EU,Martes,Mañana
178,2025-11-18,Grupo Ryanair,FR133,Berlin (BER),08:50:00,En hora,189,Boeing 737-800,S,EU,Martes,Mañana
179,2025-11-18,Grupo wizz,W43938,Chisinau (KIV),09:00:00,En hora,180,Airbus A320,W,INT,Martes,Mañana
180,2025-11-18,Grupo wizz,W62048,Krakow (KRK),09:05:00,En hora,239,Airbus A321neo,S,EU,Martes,Mañana
181,2025-11-18,Grupo Ryanair,FR3035,Krakow (KRK),09:10:00,En hora,189,Boeing 737-800,R,EU,Martes,Mañana
182,2025-11-18,Grupo Ryanair,FR3807,Charleroi (CRL),09:10:00,En hora,189,Boeing 737-800,U,EU,Martes,Mañana
183,2025-11-18,Grupo wizz,W61914,Vilnius (VNO),09:20:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana
184,2025-11-18,Grupo wizz,W43176,Bucharest (OTP),09:25:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana
185,2025-11-18,Grupo wizz,W62376,Budapest (BUD),09:25:00,Retrasado,239,Airbus A321neo,S,EU,Martes,Mañana
186,2025-11-18,Transavia,TO4751,Paris (ORY),09:30:00,En hora,232,Airbus A321neo,U,EU,Martes,Mañana
187,2025-11-18,Grupo wizz,W42938,Vienna (VIE),09:35:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana
188,2025-11-18,Air Arabia Maroc,3O378,Tanger (TNG),09:45:00,En hora,174,Airbus A320,Y,INT,Martes,Mañana
189,2025-11-18,Eurowings,EW9441,Dusseldorf (DUS),09:45:00,En hora,150,Airbus A319,S,EU,Martes,Mañana
190,2025-11-18,Air Serbia,JU581,Belgrade (BEG),09:55:00,En hora,144,Airbus A319,Y,INT,Martes,Mañana
191,2025-11-18,Grupo Ryanair,LW12,Vienna (VIE),10:15:00,En hora,180,Airbus A320,U,EU,Martes,Mañana
192,2025-11-18,Grupo wizz,W61476,Warsaw (WAW),10:15:00,En hora,239,Airbus A321neo,S,EU,Martes,Mañana
193,2025-11-18,Grupo Ryanair,FR1279,Copenhagen (CPH),10:25:00,En hora,197,Boeing 737 MAX 8,S,EU,Martes,Mañana
194,2025-11-18,Grupo Ryanair,FR5270,Manchester (MAN),10:30:00,En hora,197,Boeing 737 MAX 8,W,INT,Martes,Mañana
195,2025-11-18,Azerbaijan Airlines,J246,Baku (GYD),10:45:00,En hora,186,Airbus A320neo,Y,INT,Martes,Mañana
196,2025-11-18,Aer Lingus,EI563,Dublin (DUB),11:30:00,En hora,174,Airbus A320,W,INT,Martes,Mañana
197,2025-11-18,Grupo Ryanair,FR58,Napoli (NAP),11:40:00,En hora,189,Boeing 737-800,S,EU,Martes,Mañana
198,2025-11-18,Icelandair,FI597,Keflavik (KEF),11:50:00,En hora,160,Boeing 737 MAX 8,U,EU,Martes,Mañana
199,2025-11-18,Grupo Ryanair,FR3108,Luxembourg (LUX),12:15:00,En hora,189,Boeing 737-800,U,EU,Martes,Tarde
200,2025-11-18,Grupo easy,EC7151,Milan (MXP),12:20:00,En hora,156,Airbus A319,R,EU,Martes,Tarde
