,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,festivo,Visper_fest,OCC,Name_company,Airline_Type
161,2025-11-20,FR8384,budapest,10:25:00,189,EU,Jueves,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
162,2025-11-20,FR3792,birmingham,11:00:00,189,INT,Jueves,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
163,2025-11-20,FR4545,porto,11:00:00,197,EU,Jueves,Mañana,0,0,0.93,Grupo Ryanair,Low_Cost
164,2025-11-20,FR3076,stockholm,11:10:00,189,EU,Jueves,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
165,2025-11-20,FR483,malaga,11:10:00,189,NAC,Jueves,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
166,2025-11-20,FR6597,manchester,11:20:00,189,INT,Jueves,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
167,2025-11-20,FR2239,marrakech,12:30:00,189,INT,Jueves,Tarde,0,0,0.93,Grupo Ryanair,Low_Cost
168,2025-11-20,FR3160,bristol,12:45:00,189,INT,Jueves,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
169,2025-11-20,FR1681,frankfurt-hahn,13:00:00,189,EU,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
170,2025-11-20,FR3039,prague,13:30:00,197,EU,Jueves,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
171,2025-11-20,FR269,milan,13:40:00,189,EU,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
172,2025-11-20,FR6267,edinburgh,13:45:00,197,INT,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
173,2025-11-20,FR846,milan,13:45:00,197,EU,Jueves,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
174,2025-11-20,FR2233,al aaroui,14:00:00,189,INT,Jueves,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
175,2025-11-20,FR3189,fes,15:00:00,189,INT,Jueves,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
