,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,OCC,OCC_pred
290,2025-11-22,FR2239,marrakech,09:20:00,189,INT,Sábado,Mañana,,0.86
291,2025-11-22,FR3028,ibiza,09:20:00,189,NAC,Sábado,Mañana,,0.57
292,2025-11-22,FR3049,krakow,09:30:00,189,EU,Sábado,Mañana,,0.98
293,2025-11-22,FR6559,liverpool,10:00:00,189,INT,Sábado,Mañana,,0.95
294,2025-11-22,FR9171,stockholm,10:20:00,197,EU,Sábado,Mañana,,0.98
295,2025-11-22,FR3168,newcastle,10:25:00,189,INT,Sábado,Mañana,,0.92
296,2025-11-22,FR9307,cork,10:30:00,197,INT,Sábado,Mañana,,0.92
297,2025-11-22,FR12,vienna,10:30:00,180,EU,Sábado,Mañana,,0.98
298,2025-11-22,FR6394,dublin,11:00:00,197,INT,Sábado,Mañana,,0.95
299,2025-11-22,FR4597,porto,11:20:00,197,EU,Sábado,Mañana,,0.92
300,2025-11-22,FR2507,cologne-bonn,11:55:00,189,EU,Sábado,Mañana,,0.98
301,2025-11-22,FR3108,luxembourg,12:05:00,189,EU,Sábado,Tarde,,0.94
302,2025-11-22,FR8231,london,12:25:00,189,INT,Sábado,Tarde,,0.94
303,2025-11-22,FR483,malaga,13:05:00,189,NAC,Sábado,Tarde,,0.93
304,2025-11-22,FR7808,london,13:20:00,197,INT,Sábado,Tarde,,0.94
305,2025-11-22,FR6597,manchester,13:25:00,189,INT,Sábado,Tarde,,0.96
306,2025-11-22,FR2098,bologna,13:30:00,189,EU,Sábado,Tarde,,0.97
307,2025-11-22,FR1681,frankfurt-hahn,14:00:00,189,EU,Sábado,Tarde,,0.98
308,2025-11-22,FR6920,dublin,14:05:00,189,INT,Sábado,Tarde,,0.95
309,2025-11-22,FR58,napoli,14:15:00,189,EU,Sábado,Tarde,,0.98
310,2025-11-22,FR3070,palma de mallorca,14:40:00,189,NAC,Sábado,Tarde,,0.93
