,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
600,05/12/2025,Ryanair,FR5710,Napoli (NAP),20:50,"Retrasado, Ha salido 21:45",197.0,Boeing 737 MAX 8,U36
601,05/12/2025,Transavia,TO4759,Paris (ORY),20:50,"Retrasado, Ha salido 21:11",186.0,Airbus A320neo,S25
602,05/12/2025,Easyjet,U22326,London (LTN),20:55,"En hora, Ha salido",180.0,Airbus A320,M1
603,05/12/2025,BUZZ,RR8394,Budapest (BUD),21:00,"Retrasado, Ha salido 21:19",189.0,Boeing 737-800,U32
604,05/12/2025,Aer Lingus,EI565,Dublin (DUB),21:05,"En hora, Ha salido",174.0,Airbus A320,W46
605,05/12/2025,Easyjet,U23374,Liverpool (LPL),21:05,"En hora, Ha salido",156.0,Airbus A319,M6
606,05/12/2025,Ryanair,FR3174,Ibiza (IBZ),21:10,"Retrasado, Ha salido 21:24",189.0,Boeing 737-800,S26
607,05/12/2025,easyJet Europe,EC1380,Geneva (GVA),21:15,"Retrasado, Programado 22:04",180.0,Airbus A320,R12
608,05/12/2025,Wizz Air Malta,W43178,Bucharest (BBU),21:20,"En hora, Ha salido",230.0,Airbus A321,S22
609,05/12/2025,Wizz Air Malta,W43406,Cluj-Napoca (CLJ),21:25,"En hora, Ha salido",180.0,Airbus A320,S21
610,05/12/2025,BUZZ,RR6944,Warsaw (WMI),21:30,"En hora, Programado",189.0,Boeing 737-800,U35
611,05/12/2025,Ryanair,FR7808,London (LTN),21:35,"Retrasado, Programado 22:14",197.0,Boeing 737 MAX 8,Y57
612,05/12/2025,Wizz Air Malta,W46020,Rome (FCO),21:35,"Retrasado, Ha salido 21:55",239.0,Airbus A321neo,S23
613,05/12/2025,Ryanair,FR8669,Dublin (DUB),21:40,"En hora, Ha salido",189.0,Boeing 737-800,Y55
614,05/12/2025,Ryanair,FR9811,London (STN),21:40,"En hora, Ha salido",189.0,Boeing 737-800,W44
615,05/12/2025,easyJet Europe,EC7682,Lisbon (LIS),21:45,"En hora, Ha salido",230.0,Airbus A321,R10
616,05/12/2025,Ryanair,FR2495,Palma de Mallorca (PMI),21:45,"Retrasado, Ha salido 22:06",189.0,Boeing 737-800,U31
617,05/12/2025,Ryanair,FR6597,Manchester (MAN),21:45,"En hora, Programado",189.0,Boeing 737-800,W
618,05/12/2025,Ryanair,FR2250,Marrakech (RAK),21:55,"En hora, Ha salido",189.0,Boeing 737-800,Y53
619,05/12/2025,Ryanair,FR3792,Birmingham (BHX),21:55,"En hora, Ha salido",189.0,Boeing 737-800,W45
620,05/12/2025,Wizz Air,W64116,Belgrade (BEG),21:55,"Retrasado, Ha salido 22:17",239.0,Airbus A321neo,Y54
621,05/12/2025,Wizz Air Malta,W46728,Venice (VCE),22:00,"En hora, Ha salido",239.0,Airbus A321neo,U34
622,05/12/2025,Easyjet,U28060,London (LGW),22:15,"Retrasado, Programado 22:32",180.0,Airbus A320,M6
623,05/12/2025,Ryanair,FR3080,Malaga (AGP),22:30,"Retrasado, Programado 23:25",197.0,Boeing 737 MAX 8,U
624,05/12/2025,Wizz Air Malta,W45154,Tirana (TIA),22:45,"En hora, Programado",239.0,Airbus A321neo,Y58
625,05/12/2025,Wizz Air,W61706,Gdansk (GDN),22:50,"Retrasado, Programado 23:24",239.0,Airbus A321neo,U
626,05/12/2025,Ryanair,FR9814,London (STN),23:10,"En hora, Programado",189.0,Boeing 737-800,W
