,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest
168,2025-11-17,Grupo wizz,W45154,tirana,22:45:00,En hora,230,Airbus A321,W,INT,Lunes,Noche,0,0
169,2025-11-18,Grupo easy,EC7105,geneva,06:00:00,En hora,156,Airbus A319,R,EU,Martes,Mañana,0,0
170,2025-11-18,Grupo Ryanair,FR3189,fes,06:15:00,En hora,189,Boeing 737-800,W,INT,Martes,Mañana,0,0
171,2025-11-18,Grupo Ryanair,FR2507,cologne-bonn,06:20:00,En hora,197,Boeing 737 MAX 8,U,EU,Martes,Mañana,0,0
172,2025-11-18,Grupo Ryanair,FR4545,porto,06:35:00,En hora,197,Boeing 737 MAX 8,U,EU,Martes,Mañana,0,0
173,2025-11-18,Grupo easy,EC8062,london,07:30:00,En hora,156,Airbus A319,R,EU,Martes,Mañana,0,0
174,2025-11-18,Grupo Ryanair,FR3166,palermo,07:35:00,En hora,189,Boeing 737-800,S,EU,Martes,Mañana,0,0
175,2025-11-18,Grupo Ryanair,FR5718,bratislava,07:35:00,En hora,189,Boeing 737-800,U,EU,Martes,Mañana,0,0
176,2025-11-18,Grupo Ryanair,FR3193,riga,07:55:00,En hora,189,Boeing 737-800,U,EU,Martes,Mañana,0,0
177,2025-11-18,Grupo easy,EC3737,milan,08:00:00,En hora,180,Airbus A320,R,EU,Martes,Mañana,0,0
178,2025-11-18,Grupo Ryanair,FR133,berlin,08:50:00,En hora,189,Boeing 737-800,S,EU,Martes,Mañana,0,0
179,2025-11-18,Grupo wizz,W43938,chisinau,09:00:00,En hora,180,Airbus A320,W,INT,Martes,Mañana,0,0
180,2025-11-18,Grupo wizz,W62048,krakow,09:05:00,En hora,239,Airbus A321neo,S,EU,Martes,Mañana,0,0
181,2025-11-18,Grupo Ryanair,FR3035,krakow,09:10:00,En hora,189,Boeing 737-800,R,EU,Martes,Mañana,0,0
182,2025-11-18,Grupo Ryanair,FR3807,charleroi,09:10:00,En hora,189,Boeing 737-800,U,EU,Martes,Mañana,0,0
183,2025-11-18,Grupo wizz,W61914,vilnius,09:20:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana,0,0
184,2025-11-18,Grupo wizz,W43176,bucharest,09:25:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana,0,0
185,2025-11-18,Grupo wizz,W62376,budapest,09:25:00,Retrasado,239,Airbus A321neo,S,EU,Martes,Mañana,0,0
186,2025-11-18,Transavia,TO4751,paris,09:30:00,En hora,232,Airbus A321neo,U,EU,Martes,Mañana,0,0
187,2025-11-18,Grupo wizz,W42938,vienna,09:35:00,En hora,239,Airbus A321neo,U,EU,Martes,Mañana,0,0
188,2025-11-18,Air Arabia Maroc,3O378,tanger,09:45:00,En hora,174,Airbus A320,Y,INT,Martes,Mañana,0,0
189,2025-11-18,Eurowings,EW9441,dusseldorf,09:45:00,En hora,150,Airbus A319,S,EU,Martes,Mañana,0,0
190,2025-11-18,Air Serbia,JU581,belgrade,09:55:00,En hora,144,Airbus A319,Y,INT,Martes,Mañana,0,0
191,2025-11-18,Grupo Ryanair,LW12,vienna,10:15:00,En hora,180,Airbus A320,U,EU,Martes,Mañana,0,0
192,2025-11-18,Grupo wizz,W61476,warsaw,10:15:00,En hora,239,Airbus A321neo,S,EU,Martes,Mañana,0,0
193,2025-11-18,Grupo Ryanair,FR1279,copenhagen,10:25:00,En hora,197,Boeing 737 MAX 8,S,EU,Martes,Mañana,0,0
194,2025-11-18,Grupo Ryanair,FR5270,manchester,10:30:00,En hora,197,Boeing 737 MAX 8,W,INT,Martes,Mañana,0,0
195,2025-11-18,Azerbaijan Airlines,J246,baku,10:45:00,En hora,186,Airbus A320neo,Y,INT,Martes,Mañana,0,0
196,2025-11-18,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,W,INT,Martes,Mañana,0,0
197,2025-11-18,Grupo Ryanair,FR58,napoli,11:40:00,En hora,189,Boeing 737-800,S,EU,Martes,Mañana,0,0
198,2025-11-18,Icelandair,FI597,keflavik,11:50:00,En hora,160,Boeing 737 MAX 8,U,EU,Martes,Mañana,0,0
199,2025-11-18,Grupo Ryanair,FR3108,luxembourg,12:15:00,En hora,189,Boeing 737-800,U,EU,Martes,Tarde,0,0
200,2025-11-18,Grupo easy,EC7151,milan,12:20:00,En hora,156,Airbus A319,R,EU,Martes,Tarde,0,0
201,2025-11-18,Norwegian Air Sweden AOC,D83657,copenhagen,12:30:00,En hora,189,Boeing 737 MAX 8,U,EU,Martes,Tarde,0,0
202,2025-11-18,Grupo Ryanair,FR8384,budapest,12:35:00,En hora,197,Boeing 737 MAX 8,U,EU,Martes,Tarde,0,0
203,2025-11-18,Pegasus Airlines,PC1092,istanbul,12:45:00,Retrasado,239,Airbus A321neo,W,INT,Martes,Tarde,0,0
